bodega_id,sku,nombre_norm,unidad,stock
almacen_suministros,97503113,CALDERO RECORT TAPA 50X60 CM,Unidad,1.0
almacen_suministros,95026919,CAZUELA 16 ONZ,Unidad,10.0
almacen_suministros,95004459,CINTA SELLAMIENTO 48 MM X 50 MTS,Unidad,14.0
almacen_suministros,124791,IBUPROFENO 800MG TNR CJX50 GEF,Unidad,100.0
almacen_suministros,95026263,PLATO BLANCO CUADRADO,Unidad,11600.0
almacen_suministros,95026266,PLATO BLANCO RECTANGULAR,Unidad,10400.0
almacen_suministros,97502964,BALDE PLASTICO 10 LTS,Unidad,11.0
almacen_suministros,97502914,CUCHARA PORCIONADORA DE 6 ONZAS,Unidad,9.0
almacen_suministros,97503241,ABRELATAS MARIPOSA,Unidad,1.0
almacen_suministros,95007905,ACEITE MECHERO CALENTA. SAMOVAR X 3750CC,Unidad,16.0
almacen_suministros,374215,ACETAMINOFEN 150MG/5ML SHJ FCOX90ML LFC,Unidad,10.0
almacen_suministros,2131,ACETAMINOFEN 500 MG TAB CJX 100,Unidad,100.0
almacen_suministros,95001202,ACETATO TAMANO CARTA,Unidad,100.0
almacen_suministros,95027285,AFVT) ANTIMICROBIANO FRUTAS Y VERDURAS,Unidad,8.0
almacen_suministros,95023660,ALCOHOL ANTISEPTICO AL 70% X 500 ML,Unidad,20.0
almacen_suministros,95023788,ALCOHOL GLICERINADO 500ML CON VALVULA,Unidad,10.0
almacen_suministros,80029519,ALEVINOS KG,Kilogram,176.0
almacen_suministros,95001498,ALMOHADILLA PARA SELLO 107X66 MM,Unidad,5.0
almacen_suministros,95004250,AMBIENTADOR AEROSOL X 400 CC,Unidad,5.0
almacen_suministros,95019886,AMBIENTADOR EN PASTA REPUESTO X 30 GR,Unidad,140.0
almacen_suministros,95006025,ARAGAN MEDIANO 51 CMS C/PALO 1.50,Unidad,12.0
almacen_suministros,95001231,ARCHIVADOR FUELLE OFICIO PLAS.13 BOLSILL,Unidad,2.0
almacen_suministros,95004124,ATOMIZADOR PLASTICO ECONOMICO 500CC,Unidad,34.0
almacen_suministros,95004096,BALDE PLASTICO 12 LITROS IMUSA,Unidad,8.0
almacen_suministros,95001212,BANDAS DE CAUCHO REF.18 CJAX32BANDAS,Unidad,9.0
almacen_suministros,95032184,BANDEJA EN EARTH PACT 38 X 28,Unidad,41500.0
almacen_suministros,97502884,BANDEJA PLASTICA 30 HUEVOS AZUL FB,Unidad,50.0
almacen_suministros,95019181,BANDEJA RECTANGULAR,Unidad,9320.0
almacen_suministros,95005527,BANDERA INTERPER POLIESTER ASTA DE 20MT,Unidad,3.0
almacen_suministros,95005526,BANDERA INTERPER POLIESTER ASTA DE 40MT,Unidad,3.0
almacen_suministros,95023864,BARRAIMANTADA TRAMONTINA,Unidad,7.0
almacen_suministros,95024375,BATA ANFILUIDO TALLA M,Unidad,5.0
almacen_suministros,95024374,BATA ANFILUIDO TALLA S,Unidad,1.0
almacen_suministros,95007930,BATA DESECHABLE COCINA,Unidad,87.0
almacen_suministros,95004095,BAYGON EN AEROSOL X 364 CM,Unidad,6.0
almacen_suministros,924931,BETAMETASONA 0.05% CREMA TBOX20G LF,Unidad,3.0
almacen_suministros,95023827,BOLSA BLANCA RESD APROV 40X60 PAQ X 50,Unidad,28.0
