bodega_id,sku,nombre_raw,nombre_norm,unidad
almacen_suministros,95009618,BOLSA PARAFIN.HAMBUR 20X20 CAL 2 PAQX100,BOLSA PARAFIN.HAMBUR 20X20 CAL 2 PAQX100,Unidad
almacen_suministros,95027844,BOLSA PRECORTE 100% FRUVER,BOLSA PRECORTE 100% FRUVER,Unidad
almacen_suministros,95020302,BOLSA RESELLABLE 18 X 17 CM PAQ X 100,BOLSA RESELLABLE 18 X 17 CM PAQ X 100,Unidad
almacen_suministros,95023124,BOLSA ROJA R.QUIMICO,BOLSA ROJA R.QUIMICO,Unidad
almacen_suministros,95023829,BOLSA VERDE RESD ORG APROV 40X60 PAQ X50,BOLSA VERDE RESD ORG APROV 40X60 PAQ X50,Unidad
almacen_suministros,95023835,BOLSA VERDE RESD ORG APROV 90X110 CAL 2,BOLSA VERDE RESD ORG APROV 90X110 CAL 2,Unidad
almacen_suministros,95001242,BORRADOR PARA TABLERO FELPA,BORRADOR PARA TABLERO FELPA,Unidad
almacen_suministros,95025023,BOWL 1.300 ML CON TAPA,BOWL 1.300 ML CON TAPA,Unidad
almacen_suministros,95025962,BOWLS KRAFT 26 ONZ- PQ*50,BOWLS KRAFT 26 ONZ- PQ*50,Unidad
almacen_suministros,95013346,CABO PARA ESCOBA METALICO,CABO PARA ESCOBA METALICO,Unidad
almacen_suministros,95004458,CABUYA POLIPROPILENO REF.12X1 RLLX750MT,CABUYA POLIPROPILENO REF.12X1 RLLX750MT,Unidad
almacen_suministros,810000514,CACEROLA CON MANGO PARA HUEVOS,CACEROLA CON MANGO PARA HUEVOS,Unidad
almacen_suministros,95004378,CAJA CARTON ARCHIV.X-300 BASE-TAPA C620K,CAJA CARTON ARCHIV.X-300 BASE-TAPA C620K,Unidad
almacen_suministros,95024036,CAJA EN CARTULINA SIN IMPRESIÓN,CAJA EN CARTULINA SIN IMPRESION,Unidad
almacen_suministros,95032374,CAJA MULTIFUNCIONAL BLANCA EN PAPEL ANTI,CAJA MULTIFUNCIONAL BLANCA EN PAPEL ANTI,Unidad
almacen_suministros,95019585,CAJA ORGANIZADORA,CAJA ORGANIZADORA,Unidad
almacen_suministros,95016497,CAJA ORGANIZADORA 15 LITROS,CAJA ORGANIZADORA 15 LITROS,Unidad
almacen_suministros,95032371,CAJA PARA ALIMENTOS 45 ONZAS,CAJA PARA ALIMENTOS 45 ONZAS,Unidad
almacen_suministros,95032370,CAJA PARA ALIMENTOS 66 ONZAS,CAJA PARA ALIMENTOS 66 ONZAS,Unidad
almacen_suministros,95032375,CAJA PARA PAPAS PAQ X100,CAJA PARA PAPAS PAQ X100,Unidad
almacen_suministros,95032373,CAJA PARA PIZZA CARTÓN 25X25,CAJA PARA PIZZA CARTON 25X25,Unidad
almacen_suministros,95032372,CAJA PARA PIZZA CARTÓN 30X30,CAJA PARA PIZZA CARTON 30X30,Unidad
almacen_suministros,97502956,CAJA POLICARBO 46X66X30 CM 64.4 LT FB,CAJA POLICARBO 46X66X30 CM 64.4 LT FB,Unidad
almacen_suministros,95001097,CAJA PORTA PERROS IMPRESA PAQX250,CAJA PORTA PERROS IMPRESA PAQX250,Unidad
almacen_suministros,95008204,CALCULADORA MANUAL 12 DIGITOS,CALCULADORA MANUAL 12 DIGITOS,Unidad
almacen_suministros,95008205,CALCULADORA MANUAL 8 DIGITOS,CALCULADORA MANUAL 8 DIGITOS,Unidad
almacen_suministros,97503119,CALDERO ALUMINIO TAPA 44 CM,CALDERO ALUMINIO TAPA 44 CM,Unidad
almacen_suministros,97503109,CALDERO RECOR CON TAPA 40X40CM 50LT  NAC,CALDERO RECOR CON TAPA 40X40CM 50LT NAC,Unidad
almacen_suministros,97503111,CALDERO RECORT TAPA 50X40,CALDERO RECORT TAPA 50X40,Unidad
almacen_suministros,95006100,CANASTILLA FREIDORA,CANASTILLA FREIDORA,Unidad
almacen_suministros,95023198,CANDADO 38MM FANAL 1,CANDADO 38MM FANAL 1,Unidad
almacen_suministros,95008246,CANDADO YALE GRANDE 870,CANDADO YALE GRANDE 870,Unidad
almacen_suministros,95008247,CANDADO YALE MEDIANO 850,CANDADO YALE MEDIANO 850,Unidad
almacen_suministros,95025669,CANOAS EARTH PACT,CANOAS EARTH PACT,Unidad
almacen_suministros,95031896,CANOAS EN BAMBU EXTRA GRANDE,CANOAS EN BAMBU EXTRA GRANDE,Unidad
almacen_suministros,95031895,CANOAS EN BAMBU GRANDE,CANOAS EN BAMBU GRANDE,Unidad
almacen_suministros,95031894,CANOAS EN BAMBU MEDIANA,CANOAS EN BAMBU MEDIANA,Unidad
almacen_suministros,95031893,CANOAS EN BAMBU PEQUEÑA,CANOAS EN BAMBU PEQUENA,Unidad
almacen_suministros,95004109,CEPILLO MANO FIBRA DURA 14.7X5.5X7.5 CM,CEPILLO MANO FIBRA DURA 14.7X5.5X7.5 CM,Unidad
almacen_suministros,97503189,"CHAIRA PARA AFILAR CUCHILLOS 12"" NAC","CHAIRA PARA AFILAR CUCHILLOS 12"" NAC",Unidad
almacen_suministros,95001491,CHINCHES COLORES SURTIDOS CJ X 50 UNID,CHINCHES COLORES SURTIDOS CJ X 50 UNID,Unidad
almacen_suministros,97503213,CHOCOLATER EN ALUMINIO 5 LT NAC,CHOCOLATER EN ALUMINIO 5 LT NAC,Unidad
almacen_suministros,95008636,CHURRUSCO NEGRO GRANDE P/LAVADO BIBERON,CHURRUSCO NEGRO GRANDE P/LAVADO BIBERON,Unidad
almacen_suministros,95001221,CINTA ENMASCARAR USO GENERAL 48MMX40MTS,CINTA ENMASCARAR USO GENERAL 48MMX40MTS,Unidad
almacen_suministros,97501513,COLADOR CHINO ACERO MALLA FINA 23CM,COLADOR CHINO ACERO MALLA FINA 23CM,Unidad
almacen_suministros,95008385,COLCHONETA PARA PISCIFLASH,COLCHONETA PARA PISCIFLASH,Unidad
almacen_suministros,95027821,CONTENEDOR  4 OZ CON TAPA,CONTENEDOR 4 OZ CON TAPA,Unidad
almacen_suministros,95027680,CONTENEDOR BAGAZO CAÑA 12 OZ PTE*25 UN,CONTENEDOR BAGAZO CANA 12 OZ PTE*25 UN,Unidad
almacen_suministros,95025839,COPA DE 2 ONZAS ALMIDON,COPA DE 2 ONZAS ALMIDON,Unidad
almacen_suministros,95031173,COPA DESECHABLE 1.5CM,COPA DESECHABLE 1.5CM,Unidad
almacen_suministros,,COPA SHOT,COPA SHOT,Unidad
almacen_suministros,,COPAS CUADRADA PETIT,COPAS CUADRADA PETIT,Unidad
almacen_suministros,95001224,COSEDORA ESTANDAR 26/6 REF. 570,COSEDORA ESTANDAR 26/6 REF. 570,Unidad
almacen_suministros,95004932,CREMA LAVALOZA LIMON REF. 402 X 500 GR,CREMA LAVALOZA LIMON REF. 402 X 500 GR,Unidad
almacen_suministros,,CUCHARA DE POSTRE,CUCHARA DE POSTRE,Unidad
almacen_suministros,97502911,CUCHARA PORCIONADORA 4 ONZ VERDE BOG,CUCHARA PORCIONADORA 4 ONZ VERDE BOG,Unidad
almacen_suministros,95010133,CUCHARA PORCIONADORA DE 4 ONZ,CUCHARA PORCIONADORA DE 4 ONZ,Unidad
almacen_suministros,95025957,CUCHARA POSTRE   ALMIDÓN . MAÍZ PTE* 100,CUCHARA POSTRE ALMIDON . MAIZ PTE* 100,Unidad
almacen_suministros,95030928,CUCHARA TRAMONTINA,CUCHARA TRAMONTINA,Unidad
almacen_suministros,97503165,"CUCHILLO 10"" MANGO AMARILLO","CUCHILLO 10"" MANGO AMARILLO",Unidad
almacen_suministros,97503171,"CUCHILLO 10"" MANGO ROJO","CUCHILLO 10"" MANGO ROJO",Unidad
almacen_suministros,97503167,"CUCHILLO 10"" MANGO VERDE NAC","CUCHILLO 10"" MANGO VERDE NAC",Unidad
almacen_suministros,95022478,"CUCHILLO 6"" AZUL","CUCHILLO 6"" AZUL",Unidad
almacen_suministros,97503145,"CUCHILLO 6"" MANGO AZUL NAC","CUCHILLO 6"" MANGO AZUL NAC",Unidad
almacen_suministros,97503147,"CUCHILLO 6"" MANGO ROJO NAC","CUCHILLO 6"" MANGO ROJO NAC",Unidad
almacen_suministros,97503143,"CUCHILLO 6"""" MANGO VERDE NAC","CUCHILLO 6"""" MANGO VERDE NAC",Unidad
almacen_suministros,97503153,"CUCHILLO 8"" MANGO AMARILLO","CUCHILLO 8"" MANGO AMARILLO",Unidad
almacen_suministros,97503155,"CUCHILLO 8"" MANGO VERDE NAC","CUCHILLO 8"" MANGO VERDE NAC",Unidad
almacen_suministros,95009554,"CUCHILLO DE 12"" CORTE CARNE","CUCHILLO DE 12"" CORTE CARNE",Unidad
almacen_suministros,95027611,"CUCHILLO DE 12"" MANGO ROJO","CUCHILLO DE 12"" MANGO ROJO",Unidad
almacen_suministros,95019614,CUCHILLO DE SIERRA,CUCHILLO DE SIERRA,Unidad
almacen_suministros,97500488,CUCHILLO FUERTE INCA,CUCHILLO FUERTE INCA,Unidad
almacen_suministros,95018235,CUCHILLO TRAMONTINA DE SIERRA,CUCHILLO TRAMONTINA DE SIERRA,Unidad
almacen_suministros,95021392,DESENGRASANTE G PLUS 3780 ML,DESENGRASANTE G PLUS 3780 ML,Unidad
almacen_suministros,95021396,DESINFECTANTE ALIMENTOS XY-12 3780ML,DESINFECTANTE ALIMENTOS XY-12 3780ML,Unidad
almacen_suministros,95021390,DESINFECTANTE AMBIENTES WHISPERV 3780ML,DESINFECTANTE AMBIENTES WHISPERV 3780ML,Unidad
almacen_suministros,95021401,DETERG ENZIMATICO PISO WASH&WALK 9450ML,DETERG ENZIMATICO PISO WASH&WALK 9450ML,Unidad
almacen_suministros,95007250,DETERGENTE EN POLVO NEUTRO BOLSA X1000GR,DETERGENTE EN POLVO NEUTRO BOLSA X1000GR,Unidad
almacen_suministros,95021410,DETERGENTE MULTIUSO PANTASTIC 20 LITROS,DETERGENTE MULTIUSO PANTASTIC 20 LITROS,Unidad
almacen_suministros,1400413,DEXAMETASONA 8MG/2ML SHI CJX1AMP V3S,DEXAMETASONA 8MG/2ML SHI CJX1AMP V3S,Unidad
almacen_suministros,161498,DICLOFENACO 1% GEL TBOX50G GE,DICLOFENACO 1% GEL TBOX50G GE,Unidad
almacen_suministros,,ELECTROLIT,ELECTROLIT,Unidad
almacen_suministros,95004114,ESCOBA DURA 37CM MANGO MADERA,ESCOBA DURA 37CM MANGO MADERA,Unidad
almacen_suministros,95004115,ESCOBA FIBRA SUAVE,ESCOBA FIBRA SUAVE,Unidad
almacen_suministros,95023057,ESCURRIDOR FRITOS EN ACERO,ESCURRIDOR FRITOS EN ACERO,Unidad
almacen_suministros,97503010,ESCURRIDOR PLASTICO PARA VERDURAS FB,ESCURRIDOR PLASTICO PARA VERDURAS FB,Unidad
almacen_suministros,95001245,ESFERO TINTA NEGRA,ESFERO TINTA NEGRA,Unidad
almacen_suministros,95001247,ESFERO TINTA ROJA1,ESFERO TINTA ROJA1,Unidad
almacen_suministros,1397364,ESPARADRAPO TELA BEGUT ROLL 1/2X5Y SEV,ESPARADRAPO TELA BEGUT ROLL 1/2X5Y SEV,Unidad
almacen_suministros,95018368,ESPATULA METALICA MANGO BLANCO,ESPATULA METALICA MANGO BLANCO,Unidad
almacen_suministros,97503204,"ESPATULA PARA LIMPIEZA DE LATAS 4"" FB","ESPATULA PARA LIMPIEZA DE LATAS 4"" FB",Unidad
almacen_suministros,97503208,ESPATULA POSTRE 7X14,ESPATULA POSTRE 7X14,Unidad
almacen_suministros,97503193,ESPATULA SILICONA #10,ESPATULA SILICONA #10,Unidad
almacen_suministros,97503195,ESPATULA SILICONA #14,ESPATULA SILICONA #14,Unidad
almacen_suministros,97503197,ESPATULA SILICONA #16,ESPATULA SILICONA #16,Unidad
almacen_suministros,95009678,ESPONJA HORNOS PARRILLA 3M ROLLO X 5 MT,ESPONJA HORNOS PARRILLA 3M ROLLO X 5 MT,Unidad
almacen_suministros,95022595,ESPUMADERA MALLA,ESPUMADERA MALLA,Unidad
almacen_suministros,95031010,ETIQUETA ROTACION AYB,ETIQUETA ROTACION AYB,Unidad
almacen_suministros,95000939,F-281 ARQUEO DE FONDOS RESX500,F-281 ARQUEO DE FONDOS RESX500,Unidad
almacen_suministros,95001089,F-393 VALERA COMIDA-PERSONAL LIBX50,F-393 VALERA COMIDA-PERSONAL LIBX50,Unidad
almacen_suministros,810000484,FILTRO CAFETERIA,FILTRO CAFETERIA,Unidad
almacen_suministros,158545,FIXOMULL STRETCH 15CMX10M CJX1ROLLO BSN,FIXOMULL STRETCH 15CMX10M CJX1ROLLO BSN,Unidad
almacen_suministros,95008384,FLOTADOR PARA MEGATOBOGAN,FLOTADOR PARA MEGATOBOGAN,Unidad
almacen_suministros,95013466,FLOTADOR PISCILAGO 4 PERSONAS,FLOTADOR PISCILAGO 4 PERSONAS,Unidad
almacen_suministros,95001229,FOLDER CELUGUIA HORIZONTAL OFICIO 180 GR,FOLDER CELUGUIA HORIZONTAL OFICIO 180 GR,Unidad
almacen_suministros,95001230,FOLDER COLGANTE AZUL PLASTIC.VARILLA MET,FOLDER COLGANTE AZUL PLASTIC.VARILLA MET,Unidad
almacen_suministros,95001182,F-RS-02 C/TROL INGRESO RETIRO ELE LIBX50,F-RS-02 C/TROL INGRESO RETIRO ELE LIBX50,Unidad
almacen_suministros,95026796,FRUTERA PLASTICA + TAPA 16 ONZ PAQ*25,FRUTERA PLASTICA + TAPA 16 ONZ PAQ*25,Unidad
almacen_suministros,95001489,GANCHO CLIP CORRIENTE CJ X 100 UNIDADES,GANCHO CLIP CORRIENTE CJ X 100 UNIDADES,Unidad
almacen_suministros,95001488,GANCHO CLIP MARIPOSA CJ X 50 UNIDADES,GANCHO CLIP MARIPOSA CJ X 50 UNIDADES,Unidad
almacen_suministros,95001482,GANCHO COSEDORA 26/6 ESTANDAR X 5000 UN,GANCHO COSEDORA 26/6 ESTANDAR X 5000 UN,Unidad
almacen_suministros,95001507,GANCHO LEGAJADOR METALICO 3 PZ CAJAX20UN,GANCHO LEGAJADOR METALICO 3 PZ CAJAX20UN,Unidad
almacen_suministros,95026905,GANCHO ROPA,GANCHO ROPA,Unidad
almacen_suministros,855315,GASA ESTERIL CURE BAND 10X10 CJX24SO,GASA ESTERIL CURE BAND 10X10 CJX24SO,Unidad
almacen_suministros,95019077,GORRO EN LICRA PARA BAÑO CON LOGO,GORRO EN LICRA PARA BANO CON LOGO,Unidad
almacen_suministros,95010470,GUANTE CAUCHO AFELPADO AMARILLO T.L,GUANTE CAUCHO AFELPADO AMARILLO T.L,Unidad
almacen_suministros,95009582,GUANTE DE CAUCHO CAL. 35 No 9 PAR,GUANTE DE CAUCHO CAL. 35 NO 9 PAR,Unidad
